ID,Name,Description,Severity,Message,Path,Start line,Start column,End line,End column
CWE-022-2,Uncontrolled data used in path expression,Accessing paths influenced by users can allow an attacker to access unexpected resources.,error,"This path depends on a [[""user-provided value""|""relative:///ImageApplication.java:23:41:23:69""]].",/ImageApplication.java,26,30,26,36
CWE-078-1,Uncontrolled command line (experimental sinks),Using externally controlled strings in a command line is vulnerable to malicious changes in the strings (includes experimental sinks).,error,"This command line depends on a [[""user-provided value""|""relative:///PingApplication.java:18:24:18:47""]].",/PingApplication.java,25,57,25,63
CWE-078-2,Uncontrolled command line (experimental sinks),Using externally controlled strings in a command line is vulnerable to malicious changes in the strings (includes experimental sinks).,error,"This command line depends on a [[""user-provided value""|""relative:///Application.java:19:22:19:49""]].",/Application.java,23,40,23,48
CWE-078-2,Uncontrolled command line (experimental sinks),Using externally controlled strings in a command line is vulnerable to malicious changes in the strings (includes experimental sinks).,error,"This command line depends on a [[""user-provided value""|""relative:///Application.java:19:22:19:49""]].",/Application.java,25,40,25,43
CWE-078-3,Uncontrolled command line (experimental sinks),Using externally controlled strings in a command line is vulnerable to malicious changes in the strings (includes experimental sinks).,error,"This command line depends on a [[""user-provided value""|""relative:///UserInfoApplication.java:19:28:19:56""]].",/UserInfoApplication.java,26,57,26,63
CWE-079-1,Cross-site scripting,Writing user input directly to a web page allows for a cross-site scripting vulnerability.,error,"Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///Application.java:16:24:16:87""]].",/Application.java,17,16,17,42
CWE-079-2,Cross-site scripting,Writing user input directly to a web page allows for a cross-site scripting vulnerability.,error,"Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///Application.java:21:25:21:97""]].",/Application.java,22,16,22,35
CWE-117-1,Log Injection,Building log entries from user-controlled data may allow insertion of forged log entries by malicious users.,error,"This log entry depends on a [[""user-provided value""|""relative:///LoggingApplication.java:20:24:20:81""]].",/LoggingApplication.java,21,33,21,36
CWE-208-1,Possible timing attack against signature validation,"When checking a signature over a message, a constant-time algorithm should be used. Otherwise, there is a risk of a timing attack that allows an attacker to forge a valid signature for an arbitrary message. For a successful attack, the attacker has to be able to send to the validation procedure both the message and the signature.",warning,"Possible timing attack against [[""MAC""|""relative:///HmacExample.java:17:20:17:47""]] validation.",/HmacExample.java,24,30,24,32
CWE-208-1,Possible timing attack against signature validation,"When checking a signature over a message, a constant-time algorithm should be used. Otherwise, there is a risk of a timing attack that allows an attacker to forge a valid signature for an arbitrary message. For a successful attack, the attacker has to be able to send to the validation procedure both the message and the signature.",warning,"Possible timing attack against [[""MAC""|""relative:///HmacExample.java:17:20:17:47""]] validation.",/HmacExample.java,24,35,24,62
CWE-295-1,`TrustManager` that accepts all certificates,Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.,error,"This uses [[""TrustManager""|""relative:///Main.java:11:17:19:17""]], which is defined in [[""Main$""|""relative:///Main.java:11:21:11:50""]] and trusts any certificate.",/Main.java,24,27,24,46
CWE-295-2,`TrustManager` that accepts all certificates,Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.,error,"This uses [[""TrustManager""|""relative:///Main.java:11:17:21:17""]], which is defined in [[""Main$""|""relative:///Main.java:11:21:11:50""]] and trusts any certificate.",/Main.java,26,27,26,39
CWE-326-1,Use of a cryptographic algorithm with insufficient key size,Using cryptographic algorithms with too small a key size can allow an attacker to compromise security.,warning,"This [[""key size""|""relative:///KeyGenerator.java:11:31:11:34""]] is less than the recommended key size of 2048 bits.",/KeyGenerator.java,11,31,11,34
CWE-326-2,Use of a cryptographic algorithm with insufficient key size,Using cryptographic algorithms with too small a key size can allow an attacker to compromise security.,warning,"This [[""key size""|""relative:///KeyGenerator.java:10:31:10:34""]] is less than the recommended key size of 2048 bits.",/KeyGenerator.java,10,31,10,34
CWE-327-1,Use of a broken or risky cryptographic algorithm,Using broken or weak cryptographic algorithms can allow an attacker to compromise security.,warning,"Cryptographic algorithm [[""DES""|""relative:///EncryptionService.java:9:45:9:49""]] is weak and should not be used.",/EncryptionService.java,14,15,14,87
CWE-327-1,Use of a broken or risky cryptographic algorithm,Using broken or weak cryptographic algorithms can allow an attacker to compromise security.,warning,"Cryptographic algorithm [[""DES""|""relative:///EncryptionService.java:9:45:9:49""]] is weak and should not be used.",/EncryptionService.java,15,18,15,46
CWE-327-3,Use of a broken or risky cryptographic algorithm,Using broken or weak cryptographic algorithms can allow an attacker to compromise security.,warning,"Cryptographic algorithm [[""MD5""|""relative:///CertificateValidator.java:8:58:8:62""]] is weak and should not be used.",/CertificateValidator.java,8,32,8,63
CWE-611-1,Resolving XML external entity in user-controlled data,Parsing user-controlled XML documents and allowing expansion of external entity references may lead to disclosure of confidential data or denial of service.,error,"XML parsing depends on a [[""user-provided value""|""relative:///XmlUploadApplication.java:29:26:29:51""]] without guarding against external entity expansion.",/XmlUploadApplication.java,34,54,34,75
CWE-614-1,Failure to use secure cookies,"Insecure cookies may be sent in cleartext, which makes them vulnerable to interception.",error,Cookie is added to response without the 'secure' flag being set.,/Application.java,17,9,17,74
CWE-643-1,XPath injection,Building an XPath expression from user-controlled sources is vulnerable to insertion of malicious code by the user.,error,"XPath expression depends on a [[""user-provided value""|""relative:///Application.java:25:21:25:46""]].",/Application.java,40,53,40,94
CWE-643-2,XPath injection,Building an XPath expression from user-controlled sources is vulnerable to insertion of malicious code by the user.,error,"XPath expression depends on a [[""user-provided value""|""relative:///UserLocationsApplication.java:45:39:45:67""]].",/UserLocationsApplication.java,50,59,50,68
CWE-730-1,Regular expression injection,"User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to provide a regex that could require exponential time on certain inputs.",error,"This regular expression is constructed from a [[""user-provided value""|""relative:///DirectController.java:11:27:11:54""]].",/DirectController.java,13,55,13,61
